,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes,Language,lang_ID,Unnamed: 8,register
43,ɛ-ho-hia,weak necessity,teleological,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
44,ɛ-ho-hia,weak,teleological,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
45,ɛ-ho-hia,strong,circumstantial,0,positive,no,ɛ-ho-hia,,Akan,akan1250,,
46,ɛ-ho-hia,weak,circumstantial,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
47,ɛ-ho-hia,strong,bouletic,?,positive,no,ɛ-ho-hia,,Akan,akan1250,,
48,ɛ-ho-hia,strong,epistemic,?,negative,yes,ɛ-ho-n-hia,-n- is negation ,Akan,akan1250,,
49,ɛ-ho-hia,weak necessity,epistemic,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
50,ɛ-ho-hia,weak,epistemic,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
51,ɛ-ho-hia,strong,deontic,1,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
52,ɛ-ho-hia,weak necessity,deontic,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
53,ɛ-ho-hia,weak,deontic,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
54,ɛ-ho-hia,strong,teleological,1,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
55,ɛ-ho-hia,weak necessity,teleological,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
56,ɛ-ho-hia,weak,teleological,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
57,ɛ-ho-hia,strong,circumstantial,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
58,ɛ-ho-hia,weak,circumstantial,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
59,ɛ-ho-hia,strong,bouletic,?,negative,yes,ɛ-ho-n-hia,,Akan,akan1250,,
60,ɛwɔsɛ,strong,epistemic,?,positive,no,ɛwɔsɛ,ɛwɔsɛ is acceptable under some context and infelicitous under others,Akan,akan1250,,
61,ɛwɔsɛ,weak necessity,epistemic,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
62,ɛwɔsɛ,weak,epistemic,?,positive,no,ɛwɔsɛ,,Akan,akan1250,,
63,ɛwɔsɛ,strong,deontic,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
64,ɛwɔsɛ,weak necessity,deontic,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
65,ɛwɔsɛ,weak,deontic,?,positive,no,ɛwɔsɛ,,Akan,akan1250,,
66,ɛwɔsɛ,strong,teleological,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
67,ɛwɔsɛ,weak necessity,teleological,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
68,ɛwɔsɛ,weak,teleological,?,positive,no,ɛwɔsɛ,,Akan,akan1250,,
69,ɛwɔsɛ,strong,circumstantial,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
70,ɛwɔsɛ,weak,circumstantial,?,positive,no,ɛwɔsɛ,,Akan,akan1250,,
71,ɛwɔsɛ,strong,bouletic,1,positive,no,ɛwɔsɛ,,Akan,akan1250,,
72,ɛwɔsɛ,strong,epistemic,?,negative,yes,ɛnwɔsɛ,-n- is a negative circumfix,Akan,akan1250,,
73,ɛwɔsɛ,weak necessity,epistemic,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
74,ɛwɔsɛ,weak,epistemic,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
75,ɛwɔsɛ,strong,deontic,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
76,ɛwɔsɛ,weak necessity,deontic,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
77,ɛwɔsɛ,weak,deontic,1,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
78,ɛwɔsɛ,strong,teleological,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
79,ɛwɔsɛ,weak necessity,teleological,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
80,ɛwɔsɛ,weak,teleological,1,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
81,ɛwɔsɛ,strong,circumstantial,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
82,ɛwɔsɛ,weak,circumstantial,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
83,ɛwɔsɛ,strong,bouletic,?,negative,yes,ɛnwɔsɛ,,Akan,akan1250,,
84,ebia,strong,epistemic,?,positive,no,ebia,adverb that translated to perhaps,Akan,akan1250,,
85,ebia,weak necessity,epistemic,?,positive,no,ebia,,Akan,akan1250,,
86,ebia,weak,epistemic,1,positive,no,ebia,,Akan,akan1250,,
87,ebia,strong,deontic,?,positive,no,ebia,,Akan,akan1250,,
88,ebia,weak necessity,deontic,?,positive,no,ebia,,Akan,akan1250,,
89,ebia,weak,deontic,?,positive,no,ebia,,Akan,akan1250,,
90,ebia,strong,teleological,?,positive,no,ebia,,Akan,akan1250,,
91,ebia,weak necessity,teleological,?,positive,no,ebia,,Akan,akan1250,,
92,ebia,weak,teleological,?,positive,no,ebia,,Akan,akan1250,,
93,ebia,strong,circumstantial,?,positive,no,ebia,,Akan,akan1250,,
94,ebia,weak,circumstantial,?,positive,no,ebia,,Akan,akan1250,,
95,ebia,strong,bouletic,?,positive,no,ebia,,Akan,akan1250,,
96,ebia,strong,epistemic,1,negative,yes,ebia ... eni,eni is translated to not,Akan,akan1250,,
97,ebia,weak necessity,epistemic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
98,ebia,weak,epistemic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
99,ebia,strong,deontic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
100,ebia,weak necessity,deontic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
101,ebia,weak,deontic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
102,ebia,strong,teleological,?,negative,yes,ebia ... eni,,Akan,akan1250,,
103,ebia,weak necessity,teleological,?,negative,yes,ebia ... eni,,Akan,akan1250,,
104,ebia,weak,teleological,?,negative,yes,ebia ... eni,,Akan,akan1250,,
105,ebia,strong,circumstantial,?,negative,yes,ebia ... eni,,Akan,akan1250,,
106,ebia,weak,circumstantial,?,negative,yes,ebia ... eni,,Akan,akan1250,,
107,ebia,strong,bouletic,?,negative,yes,ebia ... eni,,Akan,akan1250,,
108,gyama,strong,epistemic,?,positive,no,gyama,adverb that is translated to maybe,Akan,akan1250,,
109,gyama,weak necessity,epistemic,?,positive,no,gyama,,Akan,akan1250,,
110,gyama,weak,epistemic,1,positive,no,gyama,,Akan,akan1250,,
111,gyama,strong,deontic,?,positive,no,gyama,,Akan,akan1250,,
112,gyama,weak necessity,deontic,?,positive,no,gyama,,Akan,akan1250,,
113,gyama,weak,deontic,?,positive,no,gyama,,Akan,akan1250,,
114,gyama,strong,teleological,?,positive,no,gyama,,Akan,akan1250,,
115,gyama,weak necessity,teleological,?,positive,no,gyama,,Akan,akan1250,,
116,gyama,weak,teleological,?,positive,no,gyama,,Akan,akan1250,,
117,gyama,strong,circumstantial,?,positive,no,gyama,,Akan,akan1250,,
118,gyama,weak,circumstantial,?,positive,no,gyama,,Akan,akan1250,,
119,gyama,strong,bouletic,?,positive,no,gyama,,Akan,akan1250,,
120,(be)-tumi,strong,epistemic,?,positive,no,be-tumi,"be- is future tense, tumi is translated to can. be- is optional but the speaker noted be-tumi is the most natural expression ",Akan,akan1250,,
121,(be)-tumi,weak necessity,epistemic,?,positive,no,be-tumi,,Akan,akan1250,,
122,(be)-tumi,weak,epistemic,1,positive,no,be-tumi,,Akan,akan1250,,
123,(be)-tumi,strong,deontic,?,positive,no,be-tumi,,Akan,akan1250,,
124,(be)-tumi,weak necessity,deontic,?,positive,no,be-tumi,,Akan,akan1250,,
125,(be)-tumi,weak,deontic,1,positive,no,be-tumi,,Akan,akan1250,,
126,(be)-tumi,strong,teleological,?,positive,no,be-tumi,,Akan,akan1250,,
127,(be)-tumi,weak necessity,teleological,?,positive,no,be-tumi,,Akan,akan1250,,
128,(be)-tumi,weak,teleological,1,positive,no,be-tumi,,Akan,akan1250,,
129,(be)-tumi,strong,circumstantial,?,positive,no,be-tumi,,Akan,akan1250,,
130,(be)-tumi,weak,circumstantial,1,positive,no,be-tumi,,Akan,akan1250,,
131,(be)-tumi,strong,bouletic,?,positive,no,be-tumi,,Akan,akan1250,,
132,(be)-tumi,strong,epistemic,?,negative,yes,n+tumi,n is negation,Akan,akan1250,,
133,(be)-tumi,weak necessity,epistemic,?,negative,yes,n+tumi,,Akan,akan1250,,
134,(be)-tumi,weak,epistemic,1,negative,yes,n+tumi,,Akan,akan1250,,
135,(be)-tumi,strong,deontic,?,negative,yes,n+tumi,,Akan,akan1250,,
136,(be)-tumi,weak necessity,deontic,?,negative,yes,n+tumi,,Akan,akan1250,,
137,(be)-tumi,weak,deontic,1,negative,yes,n+tumi,,Akan,akan1250,,
138,(be)-tumi,strong,teleological,?,negative,yes,n+tumi,,Akan,akan1250,,
139,(be)-tumi,weak necessity,teleological,?,negative,yes,n+tumi,,Akan,akan1250,,
140,(be)-tumi,weak,teleological,1,negative,yes,n+tumi,,Akan,akan1250,,
141,(be)-tumi,strong,circumstantial,?,negative,yes,n+tumi,,Akan,akan1250,,
142,(be)-tumi,weak,circumstantial,1,negative,yes,n+tumi,,Akan,akan1250,,
143,(be)-tumi,strong,bouletic,?,negative,yes,n+tumi,,Akan,akan1250,,
144,ebia+tumi,strong,epistemic,1,negative,no,ebetumi,ebia is an adverb that means perhaps and tumi means can,Akan,akan1250,,
145,ebia+tumi,weak necessity,epistemic,?,negative,no,ebetumi,,Akan,akan1250,,
146,ebia+tumi,weak,epistemic,?,negative,no,ebetumi,,Akan,akan1250,,
147,ebia+tumi,strong,deontic,?,negative,no,ebetumi,,Akan,akan1250,,
148,ebia+tumi,weak necessity,deontic,?,negative,no,ebetumi,,Akan,akan1250,,
149,ebia+tumi,weak,deontic,?,negative,no,ebetumi,,Akan,akan1250,,
150,ebia+tumi,strong,teleological,?,negative,no,ebetumi,,Akan,akan1250,,
151,ebia+tumi,weak necessity,teleological,?,negative,no,ebetumi,,Akan,akan1250,,
152,ebia+tumi,weak,teleological,?,negative,no,ebetumi,,Akan,akan1250,,
153,ebia+tumi,strong,circumstantial,1,negative,no,ebetumi,,Akan,akan1250,,
154,ebia+tumi,weak,circumstantial,?,negative,no,ebetumi,,Akan,akan1250,,
155,ebia+tumi,strong,bouletic,?,negative,no,ebetumi,,Akan,akan1250,,
0,behar,strong,epistemic,1,positive,no,behar,"this is categorized as a modal in the note, and modal will be followed by auxilary verb in Basque",Basque,basq1248,,
1,behar,weak necessity,epistemic,?,positive,no,behar,the expression can occur under some contexts and is not allowed under some other contexts,Basque,basq1248,,
2,behar,weak,epistemic,?,positive,no,behar,,Basque,basq1248,,
3,behar,strong,deontic,1,positive,no,behar,,Basque,basq1248,,
4,behar,weak necessity,deontic,1,positive,no,behar,,Basque,basq1248,,
5,behar,weak,deontic,?,positive,no,behar,,Basque,basq1248,,
6,behar,strong,teleological,1,positive,no,behar,,Basque,basq1248,,
7,behar,weak necessity,teleological,1,positive,no,behar(ko) zenuke,zenuke is be.2sg.erg.pot,Basque,basq1248,,
8,behar,weak,teleological,?,positive,no,behar,,Basque,basq1248,,
9,behar,strong,circumstantial,1,positive,no,behar,,Basque,basq1248,,
10,behar,weak,circumstantial,?,positive,no,behar,,Basque,basq1248,,
11,behar,strong,bouletic,1,positive,no,behar,,Basque,basq1248,,
12,behar,strong,epistemic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
13,behar,weak necessity,epistemic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
14,behar,weak,epistemic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
15,behar,strong,deontic,1,negative,yes,NEG + behar ,,Basque,basq1248,,
16,behar,weak necessity,deontic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
17,behar,weak,deontic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
18,behar,strong,teleological,1,negative,yes,NEG + behar (+ rik),can be followed by -rik or some NPI optionally under teleological context,Basque,basq1248,,
19,behar,weak necessity,teleological,?,negative,yes,NEG + behar ,,Basque,basq1248,,
20,behar,weak,teleological,?,negative,yes,NEG + behar ,,Basque,basq1248,,
21,behar,strong,circumstantial,?,negative,yes,NEG + behar ,,Basque,basq1248,,
22,behar,weak,circumstantial,?,negative,yes,NEG + behar ,,Basque,basq1248,,
23,behar,strong,bouletic,?,negative,yes,NEG + behar ,,Basque,basq1248,,
24,ezin,strong,epistemic,?,negative,no,ezin,"this is categorized as a negative modal in the note, and modal will be followed by auxilary verb in Basque",Basque,basq1248,,
25,ezin,weak necessity,epistemic,?,negative,no,ezin,,Basque,basq1248,,
26,ezin,weak,epistemic,1,negative,no,ezin,,Basque,basq1248,,
27,ezin,strong,deontic,?,negative,no,ezin,,Basque,basq1248,,
28,ezin,weak necessity,deontic,?,negative,no,ezin,,Basque,basq1248,,
29,ezin,weak,deontic,1,negative,no,ezin,,Basque,basq1248,,
30,ezin,strong,teleological,?,negative,no,ezin,,Basque,basq1248,,
31,ezin,weak necessity,teleological,?,negative,no,ezin,,Basque,basq1248,,
32,ezin,weak,teleological,1,negative,no,ezin,,Basque,basq1248,,
33,ezin,strong,circumstantial,?,negative,no,ezin,,Basque,basq1248,,
34,ezin,weak,circumstantial,1,negative,no,ezin,,Basque,basq1248,,
35,ezin,strong,bouletic,?,negative,no,ezin,,Basque,basq1248,,
36,nahi,strong,epistemic,?,positive,no,nahi,"this is categorized as a modal in the note, and modal will be followed by auxilary verb in Basque",Basque,basq1248,,
37,nahi,weak necessity,epistemic,?,positive,no,nahi,,Basque,basq1248,,
38,nahi,weak,epistemic,?,positive,no,nahi,,Basque,basq1248,,
39,nahi,strong,deontic,?,positive,no,nahi,,Basque,basq1248,,
40,nahi,weak necessity,deontic,?,positive,no,nahi,,Basque,basq1248,,
41,nahi,weak,deontic,?,positive,no,nahi,,Basque,basq1248,,
42,nahi,strong,teleological,?,positive,no,nahi,,Basque,basq1248,,
43,nahi,weak necessity,teleological,?,positive,no,nahi,,Basque,basq1248,,
44,nahi,weak,teleological,?,positive,no,nahi,,Basque,basq1248,,
45,nahi,strong,circumstantial,?,positive,no,nahi,,Basque,basq1248,,
46,nahi,weak,circumstantial,?,positive,no,nahi,,Basque,basq1248,,
47,nahi,strong,bouletic,1,positive,no,nahi,,Basque,basq1248,,
48,ahal,strong,epistemic,?,positive,no,ahal,"this is categorized as a modal in the note, and modal will be followed by auxilary verb in Basque",Basque,basq1248,,
49,ahal,weak necessity,epistemic,?,positive,no,ahal,,Basque,basq1248,,
50,ahal,weak,epistemic,?,positive,no,ahal,,Basque,basq1248,,
51,ahal,strong,deontic,?,positive,no,ahal,,Basque,basq1248,,
52,ahal,weak necessity,deontic,?,positive,no,ahal,,Basque,basq1248,,
53,ahal,weak,deontic,1,positive,no,ahal,,Basque,basq1248,,
54,ahal,strong,teleological,?,positive,no,ahal,,Basque,basq1248,,
55,ahal,weak necessity,teleological,?,positive,no,ahal,,Basque,basq1248,,
56,ahal,weak,teleological,1,positive,no,ahal,the expression is allowed but dezakezu is preferred,Basque,basq1248,,
57,ahal,strong,circumstantial,1,positive,no,ahal,the expression is allowed under the context but least preferred,Basque,basq1248,,
58,ahal,weak,circumstantial,?,positive,no,ahal,,Basque,basq1248,,
59,ahal,strong,bouletic,?,positive,no,ahal,,Basque,basq1248,,
60,egitekotan egon....behar,strong,epistemic,?,positive,no,egitekotan egon....behar,"egitekotan egon is a paraphrase of 'it is nearly', when combined with behar, it could express weak necessity",Basque,basq1248,,
61,egitekotan egon....behar,weak necessity,epistemic,1,positive,no,egitekotan egon....behar,,Basque,basq1248,,
62,egitekotan egon....behar,weak,epistemic,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
63,egitekotan egon....behar,strong,deontic,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
64,egitekotan egon....behar,weak necessity,deontic,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
65,egitekotan egon....behar,weak,deontic,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
66,egitekotan egon....behar,strong,teleological,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
67,egitekotan egon....behar,weak necessity,teleological,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
68,egitekotan egon....behar,weak,teleological,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
69,egitekotan egon....behar,strong,circumstantial,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
70,egitekotan egon....behar,weak,circumstantial,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
71,egitekotan egon....behar,strong,bouletic,?,positive,no,egitekotan egon....behar,,Basque,basq1248,,
72,daiteke,strong,epistemic,?,positive,no,daiteke,"the notes categorized the expression as [V....izan] with different inflections of copula verb izan, but the inflections of izan contribute to complementary distribution of allowed contexts, so I divide the expression into [daiteke/liteke]",Basque,basq1248,,
73,daiteke,weak necessity,epistemic,?,positive,no,daiteke,daiteke is prs.subj.pot.3sg of izan,Basque,basq1248,,
74,daiteke,weak,epistemic,0,positive,no,daiteke,,Basque,basq1248,,
75,daiteke,strong,deontic,?,positive,no,daiteke,,Basque,basq1248,,
76,daiteke,weak necessity,deontic,1,positive,no,ditzakete,"this is the pot.3pl of izan, it is noted that this is the same as daiteke, only personal inflection is different",Basque,basq1248,,
77,daiteke,weak,deontic,1,positive,no,daiteke/zaitezke/dezake,"zaitezke is the prs.pot.2sg of izan, and dazake is prs.pot.3sg.erg I put them under the same since it seems the only difference is the personal and case marker",Basque,basq1248,,
78,daiteke,strong,teleological,?,positive,no,daiteke,,Basque,basq1248,,
79,daiteke,weak necessity,teleological,?,positive,no,daiteke,,Basque,basq1248,,
80,daiteke,weak,teleological,1,positive,no,dezakezu,this is glossed as be.potential.2sg,Basque,basq1248,,
81,daiteke,strong,circumstantial,?,positive,no,daiteke,,Basque,basq1248,,
82,daiteke,weak,circumstantial,1,positive,no,daitezeke,this is glossed as prs.subj.pot.3pl,Basque,basq1248,,
83,daiteke,strong,bouletic,?,positive,no,daiteke,,Basque,basq1248,,
84,liteke,strong,epistemic,?,positive,no,liteke,liteke is 3sg irealis hypothetical inflection of izan,Basque,basq1248,,
85,liteke,weak necessity,epistemic,?,positive,no,liteke,,Basque,basq1248,,
86,liteke,weak,epistemic,1,positive,no,(ba)liteke,(ba) is an optional hypothetical marker,Basque,basq1248,,
87,liteke,strong,deontic,?,positive,no,liteke,,Basque,basq1248,,
88,liteke,weak necessity,deontic,?,positive,no,liteke,,Basque,basq1248,,
89,liteke,weak,deontic,?,positive,no,liteke,,Basque,basq1248,,
90,liteke,strong,teleological,?,positive,no,liteke,,Basque,basq1248,,
91,liteke,weak necessity,teleological,?,positive,no,liteke,,Basque,basq1248,,
92,liteke,weak,teleological,?,positive,no,liteke,,Basque,basq1248,,
93,liteke,strong,circumstantial,?,positive,no,liteke,,Basque,basq1248,,
94,liteke,weak,circumstantial,1,positive,no,litezke,litezke is the plural form of liteke,Basque,basq1248,,
95,liteke,strong,bouletic,?,positive,no,liteke,,Basque,basq1248,,
96,liteke,strong,epistemic,1,negative,yes,liteke ..... ez,ez is a negation word,Basque,basq1248,,
0,saka-,strong,ability,1,,,,translates to 'be able to',Donmari,doma1258,,
1,bidd-,weak,bouletic,1,,,,"translates to 'want'(p286), put it as bouletic but not sure if it's also intentional, and can also express likelihood of anticipated future event",Donmari,doma1258,,
2,bidd-,weak,intentional,?,,,,,Donmari,doma1258,,
3,xallī,weak,deontic,1,,,,"translates to 'allow', categorized as permissive",Donmari,doma1258,,
4,lāzem,strong,deontic,1,,,,"a impersonal particle(p287), not sure if it can also be epistemic",Donmari,doma1258,,
0,zal,strong,epistemic,1,positive,no,zal,zal is the singular form of 'zullen',Dutch,dutc1256,,
1,zal,weak necessity,epistemic,1,positive,no,zal,,Dutch,dutc1256,,
2,zal,weak,epistemic,?,positive,no,zal,,Dutch,dutc1256,,
3,zal,strong,deontic,?,positive,no,zal,,Dutch,dutc1256,,
4,zal,weak necessity,deontic,?,positive,no,zal,,Dutch,dutc1256,,
5,zal,weak,deontic,?,positive,no,zal,,Dutch,dutc1256,,
6,zal,strong,teleological,0,positive,no,zal,,Dutch,dutc1256,,
7,zal,weak necessity,teleological,?,positive,no,zal,,Dutch,dutc1256,,
8,zal,weak,teleological,?,positive,no,zal,,Dutch,dutc1256,,
9,zal,strong,circumstantial,?,positive,no,zal,,Dutch,dutc1256,,
10,zal,weak,circumstantial,?,positive,no,zal,,Dutch,dutc1256,,
11,zal,strong,bouletic,?,positive,no,zal,,Dutch,dutc1256,,
12,zal,strong,epistemic,?,negative,yes,zal niet,,Dutch,dutc1256,,
13,zal,weak necessity,epistemic,?,negative,yes,zal niet,,Dutch,dutc1256,,
14,zal,weak,epistemic,1,negative,yes,zal niet,,Dutch,dutc1256,,
15,zal,strong,deontic,?,negative,yes,zal niet,,Dutch,dutc1256,,
16,zal,weak necessity,deontic,?,negative,yes,zal niet,,Dutch,dutc1256,,
17,zal,weak,deontic,?,negative,yes,zal niet,,Dutch,dutc1256,,
18,zal,strong,teleological,?,negative,yes,zal niet,,Dutch,dutc1256,,
19,zal,weak necessity,teleological,?,negative,yes,zal niet,,Dutch,dutc1256,,
20,zal,weak,teleological,?,negative,yes,zal niet,,Dutch,dutc1256,,
21,zal,strong,circumstantial,?,negative,yes,zal niet,,Dutch,dutc1256,,
22,zal,weak,circumstantial,?,negative,yes,zal niet,,Dutch,dutc1256,,
23,zal,strong,bouletic,?,negative,yes,zal niet,,Dutch,dutc1256,,
24,moet/moeten,strong,epistemic,1,positive,no,moet/moeten,moet/moeten are singular/plural forms,Dutch,dutc1256,,
25,moet/moeten,weak necessity,epistemic,?,positive,no,moet/moeten,,Dutch,dutc1256,,
26,moet/moeten,weak,epistemic,?,positive,no,moet/moeten,,Dutch,dutc1256,,
27,moet/moeten,strong,deontic,1,positive,no,moet/moeten,,Dutch,dutc1256,,
28,moet/moeten,weak necessity,deontic,?,positive,no,moet/moeten,,Dutch,dutc1256,,
29,moet/moeten,weak,deontic,?,positive,no,moet/moeten,,Dutch,dutc1256,,
30,moet/moeten,strong,teleological,1,positive,no,moet/moeten,,Dutch,dutc1256,,
31,moet/moeten,weak necessity,teleological,1,positive,no,moet/moeten,this might be contradictory to IFF,Dutch,dutc1256,,
32,moet/moeten,weak,teleological,?,positive,no,moet/moeten,,Dutch,dutc1256,,
33,moet/moeten,strong,circumstantial,1,positive,no,moet/moeten,,Dutch,dutc1256,,
34,moet/moeten,weak,circumstantial,?,positive,no,moet/moeten,,Dutch,dutc1256,,
35,moet/moeten,strong,bouletic,1,positive,no,moet/moeten,,Dutch,dutc1256,,
36,moet/moeten,strong,epistemic,?,negative,yes,moet ... niet,,Dutch,dutc1256,,
37,moet/moeten,weak necessity,epistemic,?,negative,yes,moet ... niet,,Dutch,dutc1256,,
