expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
Riri,strong,bouletic,1,positive,no,none,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI"
(e)kwesiri,strong,epistemic,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak necessity,epistemic,1,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak,epistemic,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,strong,deontic,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak necessity,deontic,1,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak,deontic,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,strong,teleological,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak necessity,teleological,1,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak,teleological,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,strong,circumstantial,1,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,weak,circumstantial,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
(e)kwesiri,strong,bouletic,?,positive,no,none,(e)kwesiri,Occasional (e) epenthesis
Nwe-rV ike,strong,epistemic,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak necessity,epistemic,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak,epistemic,1,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,strong,deontic,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak necessity,deontic,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak,deontic,1,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,strong,teleological,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak necessity,teleological,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak,teleological,1,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,strong,circumstantial,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,weak,circumstantial,1,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Nwe-rV ike,strong,bouletic,?,positive,no,none,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. "
Ni,strong,epistemic,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2023"
Ni,weak necessity,epistemic,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2024"
Ni,weak,epistemic,0,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2025"
Ni,strong,deontic,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2026"
Ni,weak necessity,deontic,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2027"
Ni,weak,deontic,0,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2028"
Ni,strong,teleological,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2029"
Ni,weak necessity,teleological,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2030"
Ni,weak,teleological,0,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2031"
Ni,strong,circumstantial,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2032"
Ni,weak,circumstantial,1,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2033"
Ni,strong,bouletic,?,positive,no,none,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2034"
Kwesi-riri,strong,epistemic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak necessity,epistemic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak,epistemic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,strong,deontic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak necessity,deontic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak,deontic,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,strong,teleological,1,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak necessity,teleological,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak,teleological,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,strong,circumstantial,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,weak,circumstantial,?,positive,no,none,Kwesi-riri,Modal doubling
Kwesi-riri,strong,bouletic,?,positive,no,none,Kwesi-riri,Modal doubling
ga,strong,epistemic,1,positive,no,none,ga-v-riri,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2023"
ga,weak necessity,epistemic,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2024"
ga,weak,epistemic,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2025"
ga,strong,deontic,1,positive,no,none,ga-v-riri,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2026"
ga,weak necessity,deontic,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2027"
ga,weak,deontic,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2028"
ga,strong,teleological,1,positive,no,none,ga-v-riri,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2029"
ga,weak necessity,teleological,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2030"
ga,weak,teleological,?,positive,no,none,-,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2031"
ga,strong,circumstantial,1,positive,no,none,ga-v-riri,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2032"
ga,weak,circumstantial,1,positive,no,none,ga-v-ni,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2033"
ga,strong,bouletic,1,positive,no,none,ga-v-riri,"Ga by itself is thought to be some sort of future marker, but doesn't seem to have that function. As a modal, it can have predictive and epistemic readings, but ga is not readily compatible with root flavours. ""We propose that ga universally quantifies over a realistic modal base with stereotypical ordering""; Mucha et al. 2034"
ga,strong,epistemic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak necessity,epistemic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak,epistemic,1,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,strong,deontic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak necessity,deontic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak,deontic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,strong,teleological,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak necessity,teleological,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak,teleological,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,strong,circumstantial,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,weak,circumstantial,1,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
ga,strong,bouletic,?,negative,yes,above,(a)ga-ghi,ghi = negative marker. Occasional (a) epenthesis 
Nwe-rV ike,strong,epistemic,1,negative,yes,above,Nwe-rV ike v-ghi,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak necessity,epistemic,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak,epistemic,1,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,strong,deontic,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak necessity,deontic,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak,deontic,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,strong,teleological,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak necessity,teleological,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak,teleological,1,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,strong,circumstantial,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,weak,circumstantial,1,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
Nwe-rV ike,strong,bouletic,?,negative,yes,between,(e)nwe-ghi ike,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,strong,epistemic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak necessity,epistemic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak,epistemic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,strong,deontic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak necessity,deontic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak,deontic,1,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,strong,teleological,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak necessity,teleological,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak,teleological,1,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,strong,circumstantial,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,weak,circumstantial,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
kwesiri,strong,bouletic,?,negative,yes,above,(e)kwesi-ghi,ghi = negative marker. Occasional (e) epenthesis 
o bu-ghi iwu na ... ga-v,strong,epistemic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak necessity,epistemic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak,epistemic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,strong,deontic,1,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak necessity,deontic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak,deontic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,strong,teleological,1,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak necessity,teleological,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak,teleological,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,strong,circumstantial,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,weak,circumstantial,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
o bu-ghi iwu na ... ga-v,strong,bouletic,?,negative,yes,periphrastic,o bu-ghi iwu na ... ga-v,"periphrastic construction used to express the meaning ""it is not the law that..."""
